Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Rps18	1.93315677339368e-44	-0.31827058787266	0.979	0.973	3.16883058294692e-40
Apoe	6.05756822043259e-43	0.536495006053197	0.089	0.016	9.92956582693311e-39
Lcn2	1.28158399532821e-42	0.33665483648302	0.04	0.001	2.100772485142e-38
Ccr7	2.05420713174845e-42	-0.832483842106039	0.463	0.594	3.36725633036205e-38
Ppp1r15a	3.75294706603985e-42	-1.09499509271317	0.121	0.292	6.15183083065253e-38
Pdcd4	8.23368675062579e-42	0.59136444411876	0.535	0.336	1.34966593216258e-37
Pttg1ip	5.6038994651428e-40	0.677460014881244	0.165	0.056	9.18591200326208e-36
Pik3ip1	7.12522384660143e-39	0.638688542348146	0.385	0.217	1.16796669293491e-34
Tmsb4x	1.10099086026362e-38	0.422918913069591	0.996	0.988	1.80474421814412e-34
mt-Nd4	2.42576428830575e-38	-0.39850991661071	0.91	0.926	3.97631282139079e-34
Alox12	2.58370297971996e-38	0.545699926931094	0.085	0.016	4.23520592435696e-34
Il1r2	2.16636013825034e-36	0.324814817204322	0.041	0.002	3.55109753861996e-32
Lars2	2.39966560563609e-36	-0.865874018825023	0.276	0.444	3.93353186075868e-32
Zyx	2.9165098892374e-36	0.65656231462786	0.172	0.065	4.78074301043795e-32
Hbb-bt	3.31176737670414e-36	-1.26555823223924	0.13	0.275	5.42864908389343e-32
Myl6	4.28511346723791e-36	0.526640065917595	0.74	0.579	7.02415799549639e-32
Bcl2	8.70051688629737e-36	0.505513383613261	0.503	0.316	1.42618872800186e-31
Fn1	1.02839706000146e-35	0.360128734996588	0.054	0.006	1.68574846075439e-31
Ltb	2.95043967892959e-35	0.557689965515618	0.614	0.429	4.83636072170139e-31
mt-Nd5	3.99754960550914e-35	0.500700833499958	0.593	0.41	6.55278331335057e-31
Hist1h2bc	1.04555866914904e-34	0.555548468026647	0.13	0.041	1.71387977046911e-30
S100a1	1.61049155936972e-34	0.392654306959846	0.056	0.007	2.63991776411885e-30
Ifitm1	1.76273442145793e-34	0.378876467762625	0.036	0.001	2.88947426365383e-30
Rplp0	1.87496699628006e-33	0.259034013741362	0.988	0.975	3.07344590030227e-29
Lgals3	3.39377808247538e-33	0.483187666972108	0.08	0.017	5.56308103279364e-29
Hacd4	1.26491970704526e-32	0.363487151693765	0.05	0.006	2.07345638378859e-28
Rpl13	1.33309503038883e-32	0.209241572799959	0.997	0.993	2.18520937381337e-28
Lsm12	9.6788970089325e-32	0.623027784045386	0.271	0.14	1.58656479770422e-27
Rps24	2.80336337386011e-31	0.179894540080809	0.997	0.998	4.59527324243148e-27
Bpgm	6.27659505638493e-31	0.63526975648947	0.192	0.086	1.02885946164262e-26
Chd3	8.36476044643924e-31	-0.842478259346458	0.168	0.315	1.37115153238032e-26
Cd59a	1.21714812932903e-30	0.244899093951309	0.032	0.001	1.99514921359615e-26
Mbd2	1.5839681988491e-30	0.557396770081066	0.373	0.223	2.59644067155345e-26
Cirbp	4.54038488626136e-30	0.533072121970548	0.418	0.264	7.44259890555963e-26
Cxcl2	5.7350405724156e-30	0.490291821684127	0.064	0.012	9.40087850630366e-26
Plek	7.46375329885636e-30	0.441461586282329	0.096	0.027	1.22345844074853e-25
Ypel3	9.70486128685958e-30	0.508785862537579	0.417	0.262	1.59082086214202e-25
Rpl38	1.59986321893753e-29	-0.296524037576099	0.941	0.94	2.6224957884824e-25
Rps3a1	1.73700195676939e-29	0.220504019904024	0.996	0.986	2.84729360753639e-25
Stk38	2.45137940496474e-29	0.552292031964034	0.459	0.306	4.0183011206182e-25
Gramd3	3.26808106621698e-29	-0.631886473387191	0.441	0.566	5.35703848374287e-25
Rhoh	4.88013545914517e-29	0.498864094640977	0.452	0.295	7.99951804463077e-25
Myl12b	5.81765190676264e-29	0.49266828976536	0.52	0.358	9.53629500556532e-25
Il7r	9.67956011140539e-29	0.415874519967062	0.698	0.524	1.58667349346157e-24
Dusp5	1.44288854754132e-28	-0.897589305558958	0.113	0.245	2.36518290712974e-24
H2-K1	1.83323042442638e-28	-0.37390941073718	0.852	0.858	3.00503131171973e-24
Il1b	4.06455769493926e-28	0.369321805279377	0.039	0.004	6.66262297354443e-24
Ptma	6.49487178383945e-28	0.305715029620477	0.928	0.836	1.06463938280696e-23
Parvb	7.88589223288383e-28	0.343377078420639	0.054	0.009	1.29265545481432e-23
Sec11a	8.08316052406162e-28	0.506752120572418	0.394	0.249	1.32499167310418e-23
Slc9a3r1	1.05081788052919e-27	0.518958904320063	0.179	0.08	1.72250066976345e-23
Ppp1r21	1.52594844227387e-27	0.52861052052456	0.136	0.053	2.50133468657533e-23
Fkbp5	1.55829028514601e-27	0.354680122027439	0.069	0.016	2.55434943541134e-23
Scd2	3.03922816915899e-27	0.519847385628755	0.096	0.03	4.98190281488542e-23
Sh3bgrl3	5.67682337978139e-27	0.478182813349035	0.625	0.465	9.30544888413766e-23
Mmp8	9.45066750721273e-27	0.227814844708777	0.025	0	1.54915341778231e-22
Hnrnpd	1.27007039237418e-26	0.490858971067637	0.414	0.269	2.08189938717976e-22
Itgb1	1.74481654955828e-26	0.48096225100459	0.162	0.069	2.86010328803594e-22
Rps7	1.79903056873793e-26	0.205144816204458	0.996	0.987	2.94897090827522e-22
Gnas	5.2229966626877e-26	0.485888633134968	0.537	0.382	8.56153612947767e-22
Bri3	6.43179490537875e-26	0.543381716650547	0.274	0.156	1.05429982088969e-21
mt-Cytb	1.25615244647931e-25	-0.2500608635143	0.978	0.987	2.05908509026889e-21
Hist2h2aa1	2.32012609403721e-25	0.411433171134425	0.071	0.018	3.80315069334579e-21
Jund	3.16217584133762e-25	-0.500159754717166	0.664	0.743	5.18343863912062e-21
mt-Nd1	3.1750509414525e-25	-0.280257947293796	0.963	0.969	5.20454350322894e-21
Gng5	4.3411762947857e-25	0.424099931873572	0.482	0.329	7.11605618241271e-21
P2ry10	4.50783799317671e-25	-0.813750491621963	0.144	0.271	7.38924803841527e-21
Ifngr1	6.46242468758092e-25	0.453928925188645	0.544	0.39	1.05932065478826e-20
Ywhah	7.29708428071986e-25	0.514040270637194	0.229	0.119	1.1961380552956e-20
Dstn	1.00000133815251e-24	0.36573482716932	0.068	0.017	1.6392021934996e-20
Tyrobp	1.06940098621442e-24	0.398726931703598	0.069	0.017	1.75296209660267e-20
Rps15a	2.10051480282731e-24	0.205543596316639	0.995	0.986	3.44316386479453e-20
Eif1	2.49211317895743e-24	0.219909022456028	0.981	0.932	4.08507192294703e-20
Ngp	3.26971556013913e-24	0.180211366909486	0.02	0	5.35971774618007e-20
Srgn	3.65871770848858e-24	0.38083665996013	0.732	0.577	5.99737006775448e-20
Gas2l1	8.85951202964577e-24	0.300556528216485	0.045	0.007	1.45225121189953e-19
Cst3	9.33310284765368e-24	0.48499345158417	0.164	0.076	1.52988221878739e-19
Mpig6b	1.74219993241528e-23	0.293526029759853	0.039	0.005	2.85581412921513e-19
Tbc1d15	2.11874613409738e-23	0.463950365627538	0.301	0.181	3.47304866301243e-19
Ybx1	2.24414874032335e-23	0.441488621668447	0.559	0.412	3.67860861513803e-19
Ifitm2	3.93120013520891e-23	0.310296006698784	0.042	0.007	6.44402326163444e-19
Rps10	4.81576494573093e-23	0.173079705710786	0.996	0.988	7.89400189904214e-19
Arl4c	6.77617838935696e-23	0.476962633632287	0.371	0.24	1.11075116158339e-18
Arid5b	7.14955553933592e-23	0.491257663665737	0.255	0.144	1.17195514400794e-18
Btf3	8.21128977368653e-23	0.339663588798596	0.752	0.595	1.3459946197027e-18
Hnrnpa0	9.30970808060868e-23	0.374480794848394	0.619	0.457	1.52604734857338e-18
Mrpl41	1.00287839089644e-22	0.477080235280768	0.151	0.069	1.64391825835745e-18
Prkar2b	2.26873270027496e-22	0.286933686117436	0.046	0.008	3.71890664229071e-18
Mt1	2.28600011623947e-22	0.263599102025955	0.038	0.006	3.74721139053973e-18
Eef1b2	3.20409950733528e-22	0.268467265867748	0.944	0.863	5.252159912424e-18
Malat1	7.96232636255062e-22	-0.272997270375551	0.996	0.998	1.3051845373493e-17
Srrm1	9.6025386539869e-22	0.415128005054221	0.455	0.317	1.57404813616153e-17
Ppp1r14b	9.64425151660439e-22	0.446927073791044	0.224	0.123	1.58088570860179e-17
Rcsd1	1.31020379153968e-21	0.424241916619438	0.198	0.102	2.14768605509185e-17
Ifi27l2a	2.23124567698843e-21	-0.673897713804762	0.202	0.328	3.65745791371944e-17
Rpl21	2.94143552561749e-21	0.195383426368369	0.985	0.957	4.82160111359219e-17
F13a1	3.00479499368325e-21	0.281224457116961	0.042	0.007	4.92545995364558e-17
Tgfbi	3.17520771047058e-21	0.247016360592724	0.036	0.005	5.20480047900338e-17
Atp1b1	3.18500233351542e-21	0.469064219724272	0.171	0.085	5.22085582509848e-17
Rpl41	4.60827550386846e-21	-0.227433839727106	0.971	0.951	7.55388520594118e-17
Rbm3	5.30793159508043e-21	0.336876420375677	0.753	0.613	8.70076147065585e-17
S100a11	6.38327661100396e-21	0.509011787403157	0.186	0.095	1.04634670207577e-16
Trib2	7.71903930196524e-21	-0.717563518334805	0.25	0.364	1.26530492237814e-16
Shisa5	7.79499254507119e-21	-0.411650908330131	0.671	0.713	1.27775517798807e-16
Mkrn1	7.96292712130292e-21	0.43960740194596	0.39	0.264	1.30528301372397e-16
Ddx5	1.07005554576619e-20	-0.344471993639436	0.826	0.847	1.75403505061994e-16
Ly6e	1.18207776089962e-20	0.341434494828438	0.588	0.435	1.93766186566666e-16
Arl5a	3.2004833753299e-20	0.483422469577566	0.135	0.061	5.24623234884077e-16
Gpr132	4.66842118875494e-20	-0.608309890924533	0.268	0.38	7.6524760126071e-16
Tmed9	4.81129099104676e-20	0.423590473728473	0.331	0.216	7.88666819252385e-16
A630023P12Rik	5.92699759328085e-20	0.482106828774131	0.12	0.052	9.71553445490597e-16
Tmem59	6.1526963932793e-20	0.491189989526288	0.281	0.176	1.00854999278634e-15
Hmgb1	6.22696630352113e-20	0.411821709579021	0.454	0.319	1.02072431647318e-15
Dhx36	8.62767904842441e-20	0.470174844832037	0.237	0.138	1.41424914961773e-15
Rps8	1.86942240495835e-19	0.169214355356151	0.995	0.988	3.06435720620773e-15
Pik3r1	1.9064310741654e-19	0.449755715416518	0.229	0.133	3.12502181677192e-15
Rabac1	2.53219280730611e-19	0.381644837672079	0.458	0.328	4.15077044973617e-15
Hp	2.76203828124177e-19	0.230424008704785	0.028	0.003	4.52753315061152e-15
Nr4a1	3.47085170422451e-19	-0.826787273104138	0.03	0.106	5.68942011356482e-15
Qrfp	3.87207166796393e-19	0.268766431013495	0.037	0.006	6.34709987812647e-15
Cyb5a	5.21226168127285e-19	0.432503586340624	0.282	0.176	8.54393934794245e-15
Ramac	5.21527071131006e-19	0.424425761180242	0.194	0.106	8.54887174997945e-15
Sord	5.57680577519006e-19	0.237439794633651	0.033	0.005	9.14150002669155e-15
Lgalsl	6.02851201924405e-19	0.235155917578421	0.038	0.007	9.88193690194484e-15
Dusp1	6.1147843542588e-19	-0.718614213866596	0.11	0.211	1.0023354513501e-14
Tubb1	7.17860351901264e-19	0.164302070715616	0.024	0.002	1.17671668883655e-14
Tax1bp1	7.93522270187447e-19	0.336937377030258	0.58	0.43	1.30074170529126e-14
Gp5	1.10842968867052e-18	0.262778625905295	0.033	0.005	1.81693794566872e-14
Atf4	1.17553972440487e-18	-0.665321844197425	0.262	0.366	1.92694471624447e-14
Cstdc4	1.54309016630443e-18	0.172336112041198	0.015	0	2.52943340060623e-14
Rplp2	2.54506599486215e-18	0.177315188940028	0.994	0.977	4.17187217877803e-14
Dap	2.97655971411974e-18	0.442523823555309	0.156	0.078	4.87917668338508e-14
Gpx1	3.40754835779183e-18	0.38889609178434	0.227	0.132	5.58565326809237e-14
Tmem40	4.16905151965778e-18	0.182765667773018	0.023	0.002	6.83390925102303e-14
Rnf7	4.58569395940625e-18	0.403707159042351	0.185	0.101	7.51686953825873e-14
Selenof	4.83386598120971e-18	0.460652623751749	0.228	0.136	7.92367311639896e-14
Cox8a	5.35526192203935e-18	0.364400297024512	0.532	0.397	8.77834534260691e-14
Nfkbia	8.06242748984813e-18	0.320896402085165	0.682	0.546	1.3215931141359e-13
Ddx3y	9.70033325949052e-18	0.461431621348203	0.103	0.045	1.59007862789569e-13
Hist1h1c	1.17856652171644e-17	0.385066420460071	0.161	0.082	1.93190624239759e-13
Bbc3	1.17946426454756e-17	0.397614549629916	0.169	0.09	1.93337782244636e-13
Thrap3	1.45170549787273e-17	0.393571608664557	0.368	0.255	2.37963565211298e-13
Rps3	1.8683388567986e-17	0.167668216428167	0.992	0.975	3.06258105406426e-13
Lrg1	2.3515403177057e-17	0.135195118512407	0.015	0	3.85464488878318e-13
Coro2a	2.42921727032112e-17	0.244360545526074	0.039	0.008	3.98197294951038e-13
Eif2s3y	2.64495786187488e-17	0.408762979620947	0.089	0.036	4.3356149271853e-13
Cd151	3.23723158639475e-17	0.245637475871508	0.029	0.004	5.30647001641828e-13
Rpl13a	3.47942505510219e-17	-0.142665513789068	0.998	0.995	5.70347355032351e-13
Klhdc2	3.59674681187378e-17	0.389224446888519	0.215	0.124	5.8957873740235e-13
mt-Atp8	3.78293685309467e-17	0.39328604387444	0.157	0.081	6.20099008959279e-13
Foxp1	4.66209397329002e-17	-0.480776990969608	0.493	0.571	7.642104441017e-13
Sfr1	4.9695469968668e-17	0.424746814945503	0.289	0.187	8.14608143726405e-13
Ndfip1	6.17196621811206e-17	0.414675906623095	0.312	0.21	1.01170870247293e-12
March2	6.51714545205277e-17	0.393728247255414	0.137	0.067	1.06829048250049e-12
Rab2a	8.1060663443425e-17	0.386532834246074	0.351	0.243	1.32874639516462e-12
Asap1	9.86177004284437e-17	0.431183112260306	0.244	0.152	1.61654134542305e-12
Clec4d	1.0116388657053e-16	0.15675674413351	0.017	0.001	1.65827842866413e-12
Gimap5	1.05663593989924e-16	0.412513673202466	0.307	0.201	1.73203763268284e-12
Rpl18	1.09411523280113e-16	0.172063700447525	0.993	0.972	1.79347368960761e-12
Camp	1.53925236613754e-16	0.126690032073555	0.014	0	2.52314247857265e-12
Sumo2	1.74744001867667e-16	0.33365154992397	0.431	0.309	2.8644036786148e-12
Zfp706	1.89084792116311e-16	0.395526589146136	0.225	0.137	3.09947791237057e-12
H2afj	1.9932203882109e-16	0.350059508923954	0.39	0.272	3.2672868603553e-12
Txk	3.16906648493486e-16	-0.670780656806973	0.187	0.285	5.19473378210522e-12
Ninj1	3.76892898114357e-16	0.426395981157696	0.162	0.089	6.17802838589054e-12
Slfn2	4.11406685123459e-16	0.351248826151175	0.42	0.305	6.74377838254374e-12
Zfp91	5.64494760340315e-16	0.344297147247827	0.326	0.22	9.25319811149844e-12
Clca3a1	5.87280895640092e-16	0.146600545115302	0.017	0.001	9.62670844133239e-12
Cdkn1b	6.30197944837876e-16	0.328100271016895	0.4	0.284	1.03302047117825e-11
Xrn2	6.80287112834868e-16	0.363151480260455	0.332	0.228	1.11512663535892e-11
Oaz1	6.89390189188759e-16	0.263476442970567	0.72	0.592	1.13004839811821e-11
Hsp90aa1	6.94335077780873e-16	-0.488290967052246	0.375	0.47	1.13815405949841e-11
Npm1	7.37446412969306e-16	0.261973993112349	0.834	0.7	1.20882216013929e-11
Clic4	1.05407464768882e-15	0.321549070084267	0.068	0.024	1.72783916249152e-11
H2-Q7	1.31693529432114e-15	-0.474751722204521	0.465	0.539	2.15872033445122e-11
Scand1	1.47423458612629e-15	0.382819381899095	0.334	0.232	2.41656533357822e-11
Tmem167	1.51306377015946e-15	0.341055361466431	0.229	0.139	2.48021413204539e-11
Cavin2	1.6535438783446e-15	0.27760723722293	0.033	0.006	2.71048912538248e-11
H3f3b	1.81277176130739e-15	0.198080082969453	0.959	0.898	2.97149547113508e-11
Nptn	2.64804033700761e-15	0.375850848362865	0.117	0.056	4.34066772042287e-11
AI467606	3.21357209514905e-15	0.31546864001046	0.075	0.029	5.26768737836833e-11
Gm11707	4.82836057467903e-15	0.296351915215461	0.053	0.017	7.91464865401386e-11
Cd14	5.08465288443905e-15	0.149882511649171	0.018	0.001	8.33476300817248e-11
Tprgl	5.15620779796456e-15	0.300970125206798	0.268	0.173	8.4520558224235e-11
Mphosph10	5.43991564283083e-15	0.376806784851514	0.169	0.096	8.9171097217283e-11
Il21r	7.00607552425244e-15	-0.614412237549832	0.108	0.195	1.14843589993546e-10
Rsu1	7.43157069801958e-15	0.394720441690123	0.098	0.044	1.21818306881937e-10
Rpl22l1	7.61536762485825e-15	0.294119802241434	0.755	0.631	1.24831106106676e-10
Prkar1a	1.01832998193854e-14	0.332384399875576	0.365	0.257	1.66924650639366e-10
Ubald2	1.06245276018344e-14	-0.566096718478133	0.253	0.349	1.74157256449269e-10
Rac2	1.07245441857687e-14	-0.413206995881461	0.387	0.485	1.75796728293121e-10
Serf2	1.14315326888011e-14	0.268479066973861	0.635	0.492	1.87385683834827e-10
Clk1	1.38415736556479e-14	-0.435134361525932	0.526	0.598	2.26891075363381e-10
Srp9	1.63900293575893e-14	0.296188108176175	0.444	0.33	2.68665361229604e-10
Pabpn1	2.06901377585713e-14	0.293032799377015	0.324	0.222	3.39152738138501e-10
Rpsa	2.09202454888094e-14	0.148026212043187	0.998	0.988	3.42924664052564e-10
Nsd3	2.72813329454954e-14	0.312199340521411	0.501	0.381	4.47195609642561e-10
Esd	2.7369542318143e-14	0.38925234941879	0.17	0.098	4.48641537679001e-10
H3f3a	3.12889248673139e-14	0.259006190445878	0.763	0.64	5.12888056425009e-10
Supt4a	3.59752996957886e-14	0.317941562981154	0.45	0.339	5.89707112613367e-10
Gm45716	3.83758801018294e-14	0.373311676697118	0.059	0.021	6.29057426629187e-10
Coq10b	6.01108942273164e-14	-0.593848748762831	0.072	0.146	9.8533777817417e-10
5330438D12Rik	6.12561439349645e-14	0.233108414503468	0.049	0.015	1.00411071138194e-09
Psip1	6.92283781559146e-14	0.341892700709167	0.302	0.207	1.13479157473175e-09
Spcs1	6.96229582324612e-14	0.342917806014098	0.172	0.1	1.1412595313465e-09
Rpl10	7.46439446412307e-14	0.203976241405248	0.944	0.852	1.22356354055905e-09
Gpr68	7.71255083013825e-14	0.304768586675075	0.059	0.021	1.26424133207626e-09
Mpl	8.75470912810287e-14	0.147602160768744	0.022	0.003	1.43507192027862e-09
Erh	8.87747944540776e-14	0.338780317169785	0.122	0.063	1.45519643069124e-09
Ehd4	1.1099462783164e-13	0.270800652160516	0.051	0.016	1.81942393941625e-09
Ccl6	1.2736835368506e-13	0.196516285974716	0.024	0.004	2.0878220536055e-09
Vwf	1.32820056659203e-13	0.246305500490304	0.033	0.008	2.17718636875766e-09
Atpif1	1.32900859389892e-13	0.356670101793722	0.139	0.076	2.1785108871191e-09
mt-Nd6	1.35155212249148e-13	0.317210829583185	0.091	0.041	2.21546423918803e-09
Fgfr1op2	1.47744321704695e-13	0.371529462072563	0.179	0.107	2.42182492138336e-09
Ostf1	1.64188399395487e-13	0.33783389915498	0.234	0.15	2.69137624289082e-09
Rap1a	1.68619329094477e-13	0.371147282995805	0.196	0.12	2.76400804251666e-09
Psmd4	1.75078408721783e-13	0.322675642118352	0.234	0.15	2.86988527576746e-09
Ier3	1.82383374933366e-13	0.188575768131818	0.028	0.006	2.98962828190773e-09
Fos	2.1373791229531e-13	-0.621984699307478	0.033	0.091	3.50359185834471e-09
Exosc1	2.5012489456e-13	0.358251999340765	0.117	0.06	4.10004727162752e-09
Ndufa4	2.99231550023643e-13	0.386811333991341	0.317	0.226	4.90500356798756e-09
Sit1	3.18746098360724e-13	0.345326032149617	0.114	0.058	5.224886044329e-09
Arhgap45	3.19041561321968e-13	0.270986188458266	0.458	0.346	5.2297292731897e-09
Tspo	3.39119845789343e-13	0.387209244915153	0.326	0.234	5.55885251217891e-09
Ighm	3.47101270939546e-13	-0.565833194998367	0.082	0.157	5.68968403324103e-09
Pdcd10	3.60629681478045e-13	0.335272362126261	0.242	0.158	5.91144173878811e-09
Phf5a	3.8657403089662e-13	0.368416882718036	0.201	0.128	6.33672151445739e-09
Rpl37	5.03743733877688e-13	-0.180521838334281	0.959	0.935	8.25736728572307e-09
Bcdin3d	5.39457291681934e-13	0.244707321929033	0.046	0.015	8.84278392525026e-09
Hint1	5.79530209563604e-13	0.318477464228512	0.436	0.335	9.4996591951666e-09
C1qtnf4	5.9549497333173e-13	0.228469650804388	0.034	0.008	9.76135360285371e-09
Acbd3	6.03541747722578e-13	0.319632926003003	0.177	0.105	9.8932563286685e-09
Trem1	6.52188808943267e-13	0.121587751347626	0.013	0.001	1.0690678956198e-08
Fhl1	6.67254554214004e-13	0.150968583473812	0.025	0.004	1.0937636652676e-08
Atox1	6.95942436707723e-13	0.333431816082499	0.208	0.131	1.1407888422513e-08
Rpl22	7.94775852199348e-13	-0.202639106643072	0.91	0.885	1.30279657692517e-08
Atp2b4	8.12597293654537e-13	0.252068205894533	0.038	0.011	1.33200948375852e-08
Eef2	8.92556326061307e-13	-0.251174127942218	0.812	0.825	1.46307832967969e-08
Nedd8	9.3303784756619e-13	0.317942519526772	0.253	0.169	1.5294356397305e-08
Kras	1.12489727236812e-12	0.316769225267029	0.293	0.203	1.84393160886582e-08
Tpr	1.17337721966148e-12	0.263361416997587	0.562	0.443	1.92339993846911e-08
Slamf6	1.27859059235469e-12	0.292852556658342	0.212	0.133	2.09586569898781e-08
Cwc15	1.41584318052581e-12	0.324647115321999	0.247	0.165	2.32085014151791e-08
