Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Nipsnap1	5.34470629680878e-11	-0.286669755073536	0.001	0.036	8.76104256172894e-07
Ppm1e	5.34470629680878e-11	-0.646055538138379	0.001	0.036	8.76104256172894e-07
Rasgrf2	5.34470629680878e-11	-0.286355013614306	0.001	0.036	8.76104256172894e-07
Pacsin1	5.34470629680878e-11	-0.201211567344949	0.001	0.036	8.76104256172894e-07
Agbl5	5.44157174423811e-11	-0.198772274903565	0.001	0.036	8.91982440315511e-07
Phkg1	5.54015381265864e-11	-0.124416194842619	0.001	0.036	9.08142012971004e-07
Ccdc152	5.54015381265864e-11	-0.198532192559282	0.001	0.036	9.08142012971004e-07
Vim	5.38730757493241e-10	2.04673389451964	0.885	0.393	8.83087457682921e-06
E130102H24Rik	4.03061016637114e-09	-1.06138385287304	0.013	0.143	6.60697618471557e-05
Alox5ap	4.54351504467086e-09	1.12718970766793	0.972	0.821	7.44772986122447e-05
Gm16062	5.32832335493703e-09	-0.365782420123989	0.001	0.036	8.73418764341278e-05
2810408I11Rik	5.40544849392919e-09	-0.254109250916435	0.001	0.036	8.86061117124873e-05
Gm20633	5.40544849392919e-09	-0.125312395311833	0.001	0.036	8.86061117124873e-05
Setd6	5.40544849392919e-09	-0.199518336490994	0.001	0.036	8.86061117124873e-05
Gm49708	5.40544849392919e-09	-0.325635541927998	0.001	0.036	8.86061117124873e-05
C2cd2	5.40544849392919e-09	-0.199366161376281	0.001	0.036	8.86061117124873e-05
Vars2	5.40544849392919e-09	-0.166076916022024	0.001	0.036	8.86061117124873e-05
Spag6l	5.40544849392919e-09	-0.199134269807781	0.001	0.036	8.86061117124873e-05
Gpr174	5.48365929818828e-09	-0.124277843276399	0.001	0.036	8.98881432159023e-05
Klhl26	5.56297059496712e-09	-0.160082615275783	0.001	0.036	9.1188213992701e-05
Cd14	5.65776240235367e-09	2.03081744641923	0.838	0.286	9.27420412993814e-05
Tlnrd1	8.84958516372581e-09	-0.490898712481624	0.008	0.107	0.000145062400003793
Il21r	2.0164620370613e-08	-0.646292893724839	0.008	0.107	0.000330538457115089
Eif2s3y	3.22432443247631e-08	-0.64514237668923	0.004	0.071	0.000528531260971517
Dusp1	8.32106807708956e-08	1.64153027098835	0.901	0.393	0.00136398947919652
Asprv1	9.44305441397262e-08	1.89414290671543	0.833	0.321	0.00154790547953839
Socs2	1.1640940238624e-07	-0.574348366741706	0.001	0.036	0.00190818292391524
Phpt1	1.17811967661768e-07	-0.159917030307677	0.001	0.036	0.0019311737739117
Dll4	1.17811967661768e-07	-0.360256852567569	0.001	0.036	0.0019311737739117
Eif2b3	1.17811967661768e-07	-0.19945013561874	0.001	0.036	0.0019311737739117
Gata2	1.17811967661768e-07	-0.278549346442794	0.001	0.036	0.0019311737739117
Ankmy2	1.17811967661768e-07	-0.235817389492173	0.001	0.036	0.0019311737739117
Kif20b	1.17811967661768e-07	-0.235182348195699	0.001	0.036	0.0019311737739117
Ube2t	1.19230878262681e-07	-0.282293053786639	0.001	0.036	0.00195443255648187
Wdr90	1.19230878262681e-07	-0.303533388309602	0.001	0.036	0.00195443255648187
1500004A13Rik	1.20666317807047e-07	-0.193861519093751	0.001	0.036	0.00197796228149312
Fpgt	1.20666317807047e-07	-0.123648244573618	0.001	0.036	0.00197796228149312
Xlr4b	1.20666317807047e-07	-0.12099345620462	0.001	0.036	0.00197796228149312
Spsb1	1.22118471892812e-07	-0.118294906313076	0.001	0.036	0.00200176599126697
Zfp420	1.23587528118175e-07	-0.160568859817341	0.001	0.036	0.00202584676091313
Trbc2	1.25569474569323e-07	-0.668867370843579	0.016	0.143	0.00205833482714034
Cxcl2	2.47128046012871e-07	1.33064829756704	0.916	0.429	0.00405092293024299
Cd93	2.76829655710663e-07	-0.792790353302453	0.017	0.143	0.00453779171640919
Dyrk2	3.95589277261005e-07	-0.493162866942991	0.01	0.107	0.00648449943286239
Endov	5.22887399508574e-07	-0.573298937074752	0.005	0.071	0.00857117025274455
Gbp9	5.46768631987037e-07	-0.388540761069932	0.005	0.071	0.00896263141553151
Cwc27	5.52901288149664e-07	-0.295217973750984	0.005	0.071	0.00906315791534929
Sms	9.34387242695175e-07	-0.424715895841462	0.005	0.071	0.0153164756822593
Wdr36	9.39412435902433e-07	-0.595146859528945	0.005	0.071	0.0153988486493127
Ccdc34	9.75324452304201e-07	-0.32632384989305	0.005	0.071	0.0159875184221705
Sdhaf4	1.00715481722269e-06	-0.360879528593534	0.005	0.071	0.0165092817639144
Rnf157	1.06565272166514e-06	-0.569483316274412	0.001	0.036	0.0174681794135349
Cdkl4	1.06565272166514e-06	-0.366548407826697	0.001	0.036	0.0174681794135349
Miga1	1.07664897354486e-06	-0.191833549666989	0.001	0.036	0.0176484299743474
Slc29a1	1.07664897354486e-06	-0.166379707041723	0.001	0.036	0.0176484299743474
Tas1r3	1.07664897354486e-06	-0.392775460907615	0.001	0.036	0.0176484299743474
Elp4	1.08775438339914e-06	-0.122884470833265	0.001	0.036	0.0178304698526787
I730030J21Rik	1.08775438339914e-06	-0.191023709185677	0.001	0.036	0.0178304698526787
Gm34908	1.08775438339914e-06	-0.19033074260346	0.001	0.036	0.0178304698526787
Amn	1.08775438339914e-06	-0.232667892618017	0.001	0.036	0.0178304698526787
Gm4129	1.09896998881337e-06	-0.122207093539059	0.001	0.036	0.0180143160566287
Plekha6	1.11029683676003e-06	-0.122208483813302	0.001	0.036	0.0181999857481705
Cmtm3	1.12173598367888e-06	-0.160307250853726	0.001	0.036	0.0183874962444643
Slc7a6	1.12173598367888e-06	-0.120739988141739	0.001	0.036	0.0183874962444643
Ptgr1	1.56774408199927e-06	-0.301565470591869	0.005	0.071	0.025698460992132
Polg2	1.65923774039575e-06	-0.441990741820887	0.005	0.071	0.0271982250405671
Bach2	1.71128452179161e-06	-0.286628064101543	0.005	0.071	0.028051375881208
Ubash3a	2.51139533227336e-06	-0.43833620939171	0.005	0.071	0.041166792286625
Hpgds	2.71918938176372e-06	-0.515077610813231	0.005	0.071	0.0445729523458709
Plaur	3.07112851257781e-06	1.30803299376822	0.849	0.393	0.0503419385781755
Chd3	3.20489061669222e-06	-0.48827775487762	0.011	0.107	0.0525345669888189
Basp1	4.02923710619888e-06	-1.29582985803212	0.07	0.286	0.0660472546448121
Rpa1	4.06866378530408e-06	-0.716296561872863	0.005	0.071	0.0666935367687044
Bst1	4.49949588300266e-06	1.89640473599647	0.526	0.071	0.0737557365141796
Med27	4.54189273204761e-06	-0.274893897440903	0.005	0.071	0.0744507056637244
Egr1	4.86955030135475e-06	1.4201317566404	0.846	0.5	0.079821668539807
Chil3	4.93433321486138e-06	1.05843488202213	0.713	0.143	0.0808835900580077
Suclg2	5.70676551138848e-06	-0.281565231798868	0.001	0.036	0.09354530026268
Adgrl1	5.70676551138848e-06	-0.19094487206799	0.001	0.036	0.09354530026268
Igip	5.70676551138848e-06	-0.280783366083005	0.001	0.036	0.09354530026268
Pmepa1	5.75823799779705e-06	-0.122675391481578	0.001	0.036	0.0943890372598892
Tasp1	5.81015468387004e-06	-0.12256163160612	0.001	0.036	0.0952400555779977
F2r	5.81015468387004e-06	-0.120450150230104	0.001	0.036	0.0952400555779977
Itm2a	5.81015468387004e-06	-0.122728925269846	0.001	0.036	0.0952400555779977
Itgb3bp	5.86251921499e-06	-0.119251988570686	0.001	0.036	0.096098414972116
Prkcz	5.86251921499e-06	-0.120360421704383	0.001	0.036	0.096098414972116
Tmem186	5.91533526475588e-06	-0.118712138577247	0.001	0.036	0.0969641756598783
Cst3	6.07033272420963e-06	1.4551357948019	0.806	0.393	0.0995048940152443
Fth1	6.14334167935449e-06	0.806379126942629	1	0.929	0.100701656807979
Ubr7	6.56508704008839e-06	-0.430885562224185	0.012	0.107	0.107614906761129
G0s2	7.39853212514387e-06	2.70179505635786	0.614	0.143	0.121276738595358
Sart3	7.76331385175762e-06	-1.18549619558893	0.044	0.214	0.127256240658011
Tpt1	8.35018922468018e-06	0.251074340384942	0.992	0.893	0.136876301770957
Stfa2l1	1.08363818124737e-05	1.61007702739545	0.725	0.286	0.177629970670069
Hp	1.1627500082711e-05	0.846133287692317	0.936	0.75	0.190597981355798
Cstdc4	1.2339828332746e-05	1.56460265228579	0.629	0.143	0.202274466030372
Plin2	1.35984552306642e-05	1.90479805230633	0.599	0.179	0.222905878141048
Prss57	1.78662106993332e-05	-0.656252541368129	0.013	0.107	0.29286292578347
Mrgbp	1.84587772042712e-05	-0.413948655591473	0.013	0.107	0.302576275932414
Cd3d	1.91351110095957e-05	-0.739832209610916	0.022	0.143	0.313662739669293
Tmed1	2.084951981797e-05	-0.269263891710634	0.002	0.036	0.341765328856165
Rin1	2.084951981797e-05	-0.466907207462529	0.002	0.036	0.341765328856165
Slc25a13	2.10166508645293e-05	-0.324263587557925	0.002	0.036	0.344504940971364
Dnajc27	2.10166508645293e-05	-0.280676469500819	0.002	0.036	0.344504940971364
G430095P16Rik	2.1185056894318e-05	-0.278429483964572	0.002	0.036	0.347265452611661
Gm38394	2.15257307044877e-05	-0.154096992539114	0.002	0.036	0.352849777707963
Ppm1l	2.15257307044877e-05	-0.193439176537775	0.002	0.036	0.352849777707963
Btbd11	2.15257307044877e-05	-0.117590785124132	0.002	0.036	0.352849777707963
Mcts2	2.16980170402254e-05	-0.119293318196027	0.002	0.036	0.355673895323375
Fbxl12os	2.16980170402254e-05	-0.187830067842172	0.002	0.036	0.355673895323375
As3mt	2.16980170402254e-05	-0.155697105234106	0.002	0.036	0.355673895323375
Tecpr1	2.36564946874769e-05	-1.02445877201179	0.047	0.214	0.387777260917121
Btg2	2.87557380961672e-05	1.45314551932873	0.794	0.429	0.471364058872374
Il1r2	2.99022317145144e-05	0.853827685090549	0.959	0.679	0.49015738226432
Shprh	2.99508381057549e-05	-0.306578601578046	0.006	0.071	0.490954138229534
Ier3	3.16498165954932e-05	1.83482011653964	0.738	0.321	0.518803793633325
Actg1	3.32751998741414e-05	0.702585273242498	0.987	0.929	0.545447076336927
Tbcel	3.33592716136599e-05	-0.818961800501249	0.024	0.143	0.546825180291113
Il1b	3.40736968471487e-05	1.20855088175639	0.899	0.679	0.558536038718462
Cd44	3.5399374374243e-05	0.996584041453494	0.94	0.607	0.580266544742591
Gm42418	3.98082070039148e-05	0.710417950760922	0.999	1	0.652536129208171
Ncf1	4.60184722319418e-05	-1.2185090118332	0.382	0.643	0.754334796825989
Knstrn	5.95137427492253e-05	-0.391786051926858	0.002	0.036	0.975549271145301
Ptges	5.994289249097e-05	-0.23222382518947	0.002	0.036	0.98258389371198
Pbx4	5.994289249097e-05	-0.365551622109865	0.002	0.036	0.98258389371198
Cd7	6.03749713900985e-05	-0.278078940597783	0.002	0.036	0.989666531026495
Sirt5	6.03749713900985e-05	-0.363597022451855	0.002	0.036	0.989666531026495
Dlg4	6.12479917434426e-05	-0.191467018138816	0.002	0.036	1
Txnrd2	6.12479917434426e-05	-0.2253794137829	0.002	0.036	1
Spryd4	6.16889710169153e-05	-0.154807871401956	0.002	0.036	1
Tigar	6.21329550874749e-05	-0.183467917115514	0.002	0.036	1
Dlat	6.2881195790746e-05	-0.693564238472991	0.015	0.107	1
Ddx3x	7.13841119218414e-05	1.38067908421978	0.693	0.357	1
Tagln2	7.38598317429042e-05	1.16114111426105	0.706	0.286	1
Atr	8.91955129570622e-05	-0.48199338024084	0.007	0.071	1
Slc30a6	9.79660926229083e-05	-0.240205396370579	0.007	0.071	1
Nlrp3	0.00010307120002743	1.23724223975315	0.684	0.25	1
Pnp	0.000118139827680598	1.75808267808914	0.397	0.036	1
Gabarap	0.000120008879915766	0.800104743388701	0.905	0.536	1
Poc1a	0.000140971603393098	-0.46951756755371	0.002	0.036	1
Gm15564	0.000140971603393098	-0.370631423713909	0.002	0.036	1
Cd4	0.000141895311480797	-0.194932333256581	0.002	0.036	1
Rassf7	0.000141895311480797	-0.278340918137726	0.002	0.036	1
Vwa8	0.000141895311480797	-0.638176834666398	0.002	0.036	1
Cpox	0.000141895311480797	-0.264597929040218	0.002	0.036	1
Slx4	0.000143759854950242	-0.298814974593689	0.002	0.036	1
Pigf	0.000143759854950242	-0.189284867571457	0.002	0.036	1
Cd5	0.000143759854950242	-0.190400049234725	0.002	0.036	1
Atm	0.000146599981590711	-0.117674669229945	0.002	0.036	1
Coq6	0.000146599981590711	-0.116558681947421	0.002	0.036	1
Gimap5	0.000158540870285574	-0.266045069519662	0.008	0.071	1
Zfp36	0.000164843835550732	0.656607918469037	0.861	0.536	1
S100a8	0.000179974785634029	-0.730237185498341	0.996	0.964	1
Crispld2	0.000183727334955874	1.6319719213917	0.347	0	1
Srgn	0.000189357976715606	0.617149841371613	0.996	0.857	1
Letm1	0.000190235160342278	-0.630501609491702	0.027	0.143	1
Trib1	0.000222518866323958	1.06875994118165	0.772	0.429	1
Aoah	0.000223582525272457	-0.520616691674736	0.017	0.107	1
Flt3l	0.000232902608658575	-0.381583079161059	0.008	0.071	1
Cebpb	0.000233054042620123	0.750951786302644	0.985	0.857	1
Zfp36l1	0.000237071797918418	1.4731545099975	0.525	0.143	1
Lrrc42	0.000243743096251267	-0.363688758720438	0.008	0.071	1
Cd3e	0.000244535256633549	-0.269610306278143	0.008	0.071	1
Gm19951	0.000278865142658487	2.02791966662756	0.333	0	1
Mrpl45	0.000284897739304416	-0.281946189848355	0.008	0.071	1
Spata13	0.000287311473808368	-1.27727961332003	0.197	0.429	1
Rhoa	0.000288517178859957	0.741071436370075	0.766	0.429	1
Gm10392	0.000290220867279321	-0.364494910505164	0.002	0.036	1
Mettl1	0.000293715531706422	-0.193764872828132	0.002	0.036	1
Runx2os1	0.000293715531706422	-0.180627545320512	0.002	0.036	1
Akr7a5	0.000295477608515034	-0.275469608515951	0.002	0.036	1
Mcm5	0.000297249583093067	-0.18738895310654	0.002	0.036	1
Lpin1	0.000297249583093067	-0.117769906253024	0.002	0.036	1
Gm29361	0.000300823431112098	-0.158756976904193	0.002	0.036	1
Gm26621	0.000300823431112098	-0.113841992246709	0.002	0.036	1
Zfp362	0.000302625407932417	-0.18353522402698	0.002	0.036	1
Mcph1	0.000304437489282761	-0.113883591440438	0.002	0.036	1
Cd2	0.000310336810632724	-0.256617888512085	0.008	0.071	1
Fosb	0.000323176341147467	1.88335635857223	0.442	0.107	1
C130026I21Rik	0.000335886420740012	-0.469213365846817	0.008	0.071	1
Ap1g2	0.000344334473751851	-0.359045363754872	0.008	0.071	1
Pim1	0.000357282774210733	0.579060444506659	0.758	0.393	1
1700071M16Rik	0.000395596081308784	-0.899842063803493	0.009	0.071	1
Hmgb1	0.000398187250852352	1.40387024934691	0.42	0.071	1
Rps21	0.000427566987360638	-1.14050625626344	0.543	0.714	1
Ago3	0.000488137274456653	-0.642270626581334	0.009	0.071	1
Ccr1	0.000489570522765011	0.852567076215479	0.742	0.357	1
Ankib1	0.00049647519538383	-0.845372139940076	0.018	0.107	1
Fchsd1	0.000498370381427438	-0.431269767042213	0.009	0.071	1
1700012D14Rik	0.000539188839486553	-0.318377789513329	0.002	0.036	1
Gm28707	0.000539188839486553	-0.62986066731217	0.002	0.036	1
5031425F14Rik	0.000542174632895729	-0.227667296833134	0.002	0.036	1
Pnpt1	0.000542174632895729	-0.274245972239884	0.002	0.036	1
Dnaaf5	0.000545175824500528	-0.274457067876454	0.002	0.036	1
Pxylp1	0.000545175824500528	-0.161888130900507	0.002	0.036	1
Gm47439	0.000545175824500528	-0.192732959725073	0.002	0.036	1
Bora	0.000545175824500528	-0.274562640753473	0.002	0.036	1
Ppih	0.000547748583129874	-0.262895871602976	0.009	0.071	1
Mccc1	0.000548192487040518	-0.182999585414499	0.002	0.036	1
Dnaaf4	0.000551224693561631	-0.177466729274291	0.002	0.036	1
Gm9888	0.000551224693561631	-0.175014646769527	0.002	0.036	1
Adcy3	0.000551224693561631	-0.153289143487124	0.002	0.036	1
Ppp1r16b	0.00055383038784819	-0.692040479945103	0.031	0.143	1
Cmss1	0.000554272517417254	-0.116593366341465	0.002	0.036	1
6030458C11Rik	0.000560415312089451	-0.149623457994843	0.002	0.036	1
Kantr	0.000560415312089451	-0.116898862270078	0.002	0.036	1
Sap30	0.000561481783749034	-0.807488739255998	0.045	0.179	1
Crtam	0.000563510431159962	-0.113606209243824	0.002	0.036	1
Rora	0.00056662146407507	-0.110990546261705	0.002	0.036	1
Zfp280d	0.000585033480380124	-0.49907497584641	0.009	0.071	1
Rac1	0.000586290306612092	1.0601048937497	0.611	0.25	1
Ifitm1	0.000598947817931582	0.796693449843467	0.929	0.786	1
Cytip	0.000606977680807613	1.13962501781746	0.608	0.25	1
Tpm3	0.000615367933970637	1.01779720233063	0.601	0.214	1
Stfa2	0.00062674671059698	2.8184718298284	0.304	0	1
Cxcr2	0.000638607418134122	0.762359206781808	0.8	0.464	1
Pglyrp1	0.000687337217323294	0.702537811043816	0.92	0.857	1
Rpl37	0.000693623931466325	-1.13945807671046	0.695	0.786	1
Cd164	0.000711913735248817	1.36008562174778	0.346	0.036	1
Il15	0.000739967507852669	-1.25902455484156	0.066	0.214	1
Gimap6	0.000744313129424291	-0.91589585156886	0.019	0.107	1
Itgb3	0.000787025174788333	-0.690281053825766	0.046	0.179	1
Tsc22d3	0.000787757930700192	1.25263358635649	0.493	0.143	1
Trim34a	0.000869103742926948	-0.273305612917667	0.009	0.071	1
Eif4ebp1	0.000890865154732958	1.02587771481955	0.502	0.143	1
Wwtr1	0.000909790343073629	-0.358968444709233	0.003	0.036	1
Lrrc40	0.000914468321331876	-0.276127515938726	0.003	0.036	1
Prr12	0.000914468321331876	-0.265058549090783	0.003	0.036	1
Cyb5d1	0.000914468321331876	-0.297005226282867	0.003	0.036	1
Jakmip1	0.000919168581117124	-0.191784892751343	0.003	0.036	1
Tef	0.000923891218857832	-0.273325710153329	0.003	0.036	1
Hps6	0.000928636331349407	-0.155135906047185	0.003	0.036	1
Ccdc15	0.000933404015755363	-0.181148420968982	0.003	0.036	1
Gnpda2	0.000941956112421634	-0.449388716520698	0.01	0.071	1
Sgsm3	0.00094300749081187	-0.114009714466412	0.003	0.036	1
Bmyc	0.000957584443136046	-0.114666837175335	0.003	0.036	1
Smyd5	0.000957584443136046	-0.111848989892621	0.003	0.036	1
Clec2i	0.000957584443136046	-0.114062458163366	0.003	0.036	1
Tnfaip1	0.00098374240887778	-0.537343479060127	0.01	0.071	1
Ezr	0.00100446443913624	0.862314739259223	0.603	0.214	1
Tbc1d10a	0.00102988375090279	-0.605213163692576	0.02	0.107	1
Hdc	0.00105417482676726	0.871440801455545	0.84	0.571	1
Jmjd1c	0.00107852891848936	0.973941071368833	0.55	0.179	1
Mbd2	0.00109526353064249	1.18722534639133	0.426	0.107	1
Ceacam10	0.00109637198812379	1.37367609674434	0.283	0	1
Plek	0.00110483551380725	1.04562100868643	0.701	0.393	1
Dnm2	0.00110805361643587	1.29128728166775	0.333	0.036	1
Nol11	0.00113811069594062	-0.538560543223026	0.01	0.071	1
Samhd1	0.0012100515918127	0.90006891792735	0.652	0.321	1
Mdp1	0.00125611528178366	-0.832112941791581	0.01	0.071	1
Rcc2	0.00126924947276963	-0.713127095930851	0.021	0.107	1
Kdm2b	0.00133358208069039	-0.403617985190346	0.01	0.071	1
Arap2	0.00133628754196919	-0.697983444483011	0.021	0.107	1
Arl6ip4	0.00137219890407258	-0.535945400148192	0.034	0.143	1
Cox8a	0.00143634364295153	0.740730017892512	0.782	0.429	1
2010315B03Rik	0.00144162554178482	-0.464570747380704	0.003	0.036	1
Blnk	0.00144162554178482	-0.464304933917412	0.003	0.036	1
Itgal	0.00144530106215631	0.882980212182281	0.499	0.143	1
1110002L01Rik	0.00145548709435084	-0.272057079591412	0.003	0.036	1
Gm45871	0.00145548709435084	-0.27305754485918	0.003	0.036	1
Bpnt1	0.00146246383912418	-0.435409276784461	0.003	0.036	1
Spib	0.00146947139225669	-0.223149936835871	0.003	0.036	1
Smpd4	0.00146947139225669	-0.217603208975992	0.003	0.036	1
Lrpprc	0.00146947139225669	-0.226627593476919	0.003	0.036	1
Rtel1	0.00147650987629844	-0.154385407104526	0.003	0.036	1
Nol6	0.00148357941422156	-0.151897216231251	0.003	0.036	1
Idh3a	0.00148357941422156	-0.117204078129046	0.003	0.036	1
Themis	0.00149068012942137	-0.115348327746828	0.003	0.036	1
Mrpl49	0.00150291312090921	-0.402685327703083	0.01	0.071	1
Gm15503	0.00151939724577102	-0.113735756416148	0.003	0.036	1
Ftx	0.00152665571317741	-0.109951572066111	0.003	0.036	1
Nsd2	0.00155855283690833	-0.668119650267208	0.021	0.107	1
Gm26917	0.0017483175237389	-0.992777679622414	0.035	0.143	1
Trbc1	0.00187109636855532	-0.951485696280868	0.011	0.071	1
Fos	0.00187171813957752	1.0714260613801	0.657	0.321	1
Nedd4l	0.00190140171627695	-0.3114424374222	0.021	0.107	1
Mto1	0.00191474524711745	-0.21793803028826	0.01	0.071	1
Lpcat2	0.00199933847665387	1.15272437681278	0.322	0.036	1
Srrm2	0.00201788188535624	0.895360457467056	0.612	0.286	1
Cstdc5	0.00202239028833817	2.71729820024288	0.26	0	1
Ptp4a3	0.00209399053704158	-0.255376777338949	0.011	0.071	1
Igflr1	0.00216062162581656	-0.362731707910363	0.003	0.036	1
Ecsit	0.00216062162581656	-0.700586284052012	0.003	0.036	1
Srpk2	0.00216338971896434	-0.9938850747647	0.258	0.464	1
Zfp512b	0.00218008680759989	-0.270989080622973	0.003	0.036	1
Gm20045	0.00219971261763188	-0.188375659941688	0.003	0.036	1
Ttll4	0.00220958612770544	-0.223338089184605	0.003	0.036	1
Hadh	0.00220958612770544	-0.182713738796715	0.003	0.036	1
Cxcr3	0.00221950023912432	-0.223082454839386	0.003	0.036	1
Arhgap31	0.00223395988967665	-1.00476415292953	0.071	0.214	1
Aven	0.00224948767439204	-0.113547012095054	0.003	0.036	1
Polr2h	0.00225033200224651	-0.416330962557184	0.011	0.071	1
Atp5e	0.00225333929841495	-0.99763487168281	0.398	0.571	1
Atp2b1	0.00228637041352791	0.989629320735618	0.449	0.143	1
Adgre5	0.0023604595920857	0.621645028376417	0.827	0.464	1
Chil1	0.00240486587895502	0.675177715588518	0.578	0.25	1
Tut7	0.0025768476739365	0.785599570682166	0.773	0.464	1
Ccl6	0.00263494931419517	0.829845992346658	0.868	0.714	1
Pabpc4	0.00266306807433655	-0.249977991258213	0.011	0.071	1
Mmp25	0.00270248434995733	1.17351626328704	0.249	0	1
Cd24a	0.00271798641123428	0.692581736775483	0.785	0.464	1
Pds5a	0.00274174098248612	-0.814149212387962	0.073	0.214	1
Kcnq1ot1	0.0027453807504312	-0.216977327193367	0.011	0.071	1
Serinc3	0.00279313838231972	0.935064627796061	0.464	0.143	1
Zfp866	0.00281130102298383	-0.489560850349228	0.011	0.071	1
Hilpda	0.00281351228369665	1.50217685690802	0.247	0	1
1600020E01Rik	0.00284399671133234	-0.452522168563701	0.011	0.071	1
Cd80	0.00289957065978608	1.32395163621913	0.246	0	1
Sh3glb1	0.00295407235196976	0.607582070232425	0.615	0.25	1
H2afz	0.00302355339534718	0.945713891421183	0.529	0.214	1
Rab44	0.00303584634621079	0.835950028430107	0.416	0.107	1
Fgl2	0.00304883910839147	0.913774887351235	0.499	0.179	1
Ier2	0.00307603272712023	0.978093701202003	0.77	0.571	1
Btg1	0.00309867672810046	0.629785865166788	0.966	0.857	1
Dnah8	0.00313207734012918	-0.189774040938384	0.003	0.036	1
Lrrn3	0.00318530649691141	-0.169056359378942	0.003	0.036	1
Crim1	0.00319874197881533	-0.115022329627961	0.003	0.036	1
Gm43017	0.00321222908698684	-0.180986658012551	0.003	0.036	1
Gm16157	0.0032393588844755	-0.111786347410235	0.003	0.036	1
Resf1	0.00339723246657653	0.529689089909636	0.688	0.321	1
Il7r	0.00346210324599819	-0.529027040437283	0.012	0.071	1
Mrpl33	0.00350270410226997	-0.71148656563948	0.642	0.75	1
Kcnj2	0.00354468479397758	-0.663346424474735	0.024	0.107	1
Dynll1	0.00373646207659344	1.27222462316527	0.335	0.071	1
Tmem199	0.00377712790851191	-0.629229253487068	0.012	0.071	1
Bex3	0.00395520014857471	-0.41835377512504	0.012	0.071	1
1600014C10Rik	0.00400295315972157	1.11282468660328	0.285	0.036	1
C5ar1	0.0040563471701411	0.600489105729358	0.639	0.321	1
Stk24	0.00406965642437867	0.99861176374328	0.347	0.071	1
Sirt1	0.00407759478081	-0.798132216298692	0.039	0.143	1
Acads	0.0040870257112033	-0.255180699538981	0.012	0.071	1
Igfbp6	0.00416654232753771	1.02607326514744	0.298	0.036	1
Esf1	0.00427266305441956	-0.576020578618086	0.012	0.071	1
Man1c1	0.00427266310449175	-0.487667466220068	0.012	0.071	1
